study,year,location,state,elevation,region,inc_check,fungicide2,design_inc,mean_inc,mean_inc_qmr,mean_inc_sd
12,2009/2010,Pilar do Sul,SP,800,Southern,55,DIMO+BOSC-2,3,8.75,80.36364,2.449489743
12,2009/2010,Pilar do Sul,SP,800,Southern,55,FLUO-2,3,5.25,80.36364,6.782329983
12,2009/2010,Pilar do Sul,SP,800,Southern,55,FLUZ-2,3,7,80.36364,7.088723439
12,2009/2010,Pilar do Sul,SP,800,Southern,55,PROCY-2,3,3.25,80.36364,2.362907813
12,2009/2010,Pilar do Sul,SP,800,Southern,55,TIOF-4,3,14.5,80.36364,10.90489187
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,AACHECK-0,3,40.6,18.632615,5.253966755
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,DIMO+BOSC-2,3,10,18.632615,4.254287053
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,FLUO-2,3,9.4,18.632615,2.393567769
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,FLUZ-2,3,17.5,18.632615,3.227486122
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,PROCY-2,3,15.6,18.632615,3.886407939
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,TIOF-4,3,24.3,18.632615,5.983919423
14,2010/2011,Montividiu,GO,921,Northern,43.1,AACHECK-0,3,43.1,28.371011,9.655525189
14,2010/2011,Montividiu,GO,921,Northern,43.1,DIMO+BOSC-2,3,5.3,28.371011,2.101586702
14,2010/2011,Montividiu,GO,921,Northern,43.1,FLUO-2,3,5.8,28.371011,1.5
14,2010/2011,Montividiu,GO,921,Northern,43.1,FLUZ-2,3,3.1,28.371011,1.25
14,2010/2011,Montividiu,GO,921,Northern,43.1,PROCY-2,3,11.9,28.371011,2.393567769
14,2010/2011,Montividiu,GO,921,Northern,43.1,TIOF-4,3,26.9,28.371011,7.465197028
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,AACHECK-0,3,31.28,29.995576,4.694944089
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,DIMO+BOSC-2,3,9.38,29.995576,3.145764348
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,FLUO-2,3,8.8,29.995576,3.535533906
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,FLUZ-2,3,9.08,29.995576,3.12343294
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,PROCY-2,3,10.63,29.995576,2.393567769
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,TIOF-4,3,20.03,29.995576,5.848860288
16,2010/2011,Silvânia,GO,1050,Northern,36.8,AACHECK-0,3,36.8,30.884916,8.883833632
16,2010/2011,Silvânia,GO,1050,Northern,36.8,DIMO+BOSC-2,3,5.8,30.884916,3.914396505
16,2010/2011,Silvânia,GO,1050,Northern,36.8,FLUO-2,3,5,30.884916,2.127596453
16,2010/2011,Silvânia,GO,1050,Northern,36.8,FLUZ-2,3,6,30.884916,3.756327994
16,2010/2011,Silvânia,GO,1050,Northern,36.8,PROCY-2,3,8.8,30.884916,1.201388086
16,2010/2011,Silvânia,GO,1050,Northern,36.8,TIOF-4,3,12.3,30.884916,6.291528696
17,2010/2011,Água Fria,GO,891,Northern,36,AACHECK-0,3,36,4.945636,2.996664813
17,2010/2011,Água Fria,GO,891,Northern,36,DIMO+BOSC-2,3,4,4.945636,2.393567769
17,2010/2011,Água Fria,GO,891,Northern,36,FLUO-2,3,2,4.945636,1.556438242
17,2010/2011,Água Fria,GO,891,Northern,36,FLUZ-2,3,6,4.945636,1.589549202
17,2010/2011,Água Fria,GO,891,Northern,36,PROCY-2,3,4,4.945636,0.65
17,2010/2011,Água Fria,GO,891,Northern,36,TIOF-4,3,12,4.945636,3.711693234
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,AACHECK-0,3,64.5,264.442424,13.89244399
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,DIMO+BOSC-2,3,25,264.442424,11.19523708
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,FLUO-2,3,56.5,264.442424,12.79322737
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,FLUZ-2,3,12.5,264.442424,5
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,PROCY-2,3,9.3,264.442424,8.850612032
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,TIOF-4,3,46.3,264.442424,22.77425447
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,AACHECK-0,3,15.4,4.945636,2.996664813
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,DIMO+BOSC-2,3,0.5,4.945636,2.393567769
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,FLUO-2,3,11,4.945636,1.556438242
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,FLUZ-2,3,3.4,4.945636,1.589549202
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,PROCY-2,3,2.4,4.945636,0.65
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,TIOF-4,3,6.1,4.945636,3.711693234
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,AACHECK-0,3,42.1,10.460742,5.790221642
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,DIMO+BOSC-2,3,7.8,10.460742,0.65
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,FLUO-2,3,7.5,10.460742,2.28235989
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,FLUZ-2,3,7.8,10.460742,2.142234036
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,PROCY-2,3,12.8,10.460742,2.599198594
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,TIOF-4,3,27.2,10.460742,5.362446581
21,2011/2012,Goianira,GO,737,Northern,34.7,AACHECK-0,3,34.7,10.225731,6.421448435
21,2011/2012,Goianira,GO,737,Northern,34.7,DIMO+BOSC-2,3,10.8,10.225731,3.543421134
21,2011/2012,Goianira,GO,737,Northern,34.7,FLUO-2,3,7.1,10.225731,1.57770931
21,2011/2012,Goianira,GO,737,Northern,34.7,FLUZ-2,3,15.9,10.225731,3.586084215
21,2011/2012,Goianira,GO,737,Northern,34.7,PROCY-2,3,16.4,10.225731,2.862982128
21,2011/2012,Goianira,GO,737,Northern,34.7,TIOF-4,3,25,10.225731,3.535533906
22,2011/2012,Uberlândia,MG,947,Northern,46.3,AACHECK-0,3,46.3,26.166667,4.787135539
22,2011/2012,Uberlândia,MG,947,Northern,46.3,DIMO+BOSC-2,3,23.3,26.166667,3.862210075
22,2011/2012,Uberlândia,MG,947,Northern,46.3,FLUO-2,3,16.8,26.166667,3.201562119
22,2011/2012,Uberlândia,MG,947,Northern,46.3,FLUZ-2,3,21,26.166667,4.760952286
22,2011/2012,Uberlândia,MG,947,Northern,46.3,PROCY-2,3,21,26.166667,4.69041576
22,2011/2012,Uberlândia,MG,947,Northern,46.3,TIOF-4,3,16.5,26.166667,8.888194417
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,AACHECK-0,3,67.5,79.924242,19.31105038
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,DIMO+BOSC-2,3,8.8,79.924242,4.787135539
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,FLUO-2,3,11.3,79.924242,10.30776406
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,FLUZ-2,3,23.8,79.924242,10.30776406
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,PROCY-2,3,13.8,79.924242,8.539125638
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,TIOF-4,3,15,79.924242,7.071067812
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,AACHECK-0,3,20.5,18.316667,8.6986589
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,DIMO+BOSC-2,3,5.5,18.316667,2.081665999
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,FLUO-2,3,5.2,18.316667,4.787135539
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,FLUZ-2,3,8.2,18.316667,3.403429643
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,PROCY-2,3,9.25,18.316667,5.737304826
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,TIOF-4,3,11.2,18.316667,4.787135539
25,2011/2012,Palmeira,PR,820,Southern,55,AACHECK-0,3,55,21.098485,7.071067812
25,2011/2012,Palmeira,PR,820,Southern,55,DIMO+BOSC-2,3,6.3,21.098485,4.787135539
25,2011/2012,Palmeira,PR,820,Southern,55,FLUO-2,3,7.5,21.098485,6.454972244
25,2011/2012,Palmeira,PR,820,Southern,55,FLUZ-2,3,11.3,21.098485,7.5
25,2011/2012,Palmeira,PR,820,Southern,55,PROCY-2,3,15,21.098485,4.082482905
25,2011/2012,Palmeira,PR,820,Southern,55,TIOF-4,3,33.8,21.098485,4.787135539
26,2011/2012,Palmeira,PR,820,Southern,47.5,AACHECK-0,3,47.5,8.863636,6.454972244
26,2011/2012,Palmeira,PR,820,Southern,47.5,DIMO+BOSC-2,3,2.5,8.863636,2.886751346
26,2011/2012,Palmeira,PR,820,Southern,47.5,FLUO-2,3,2.5,8.863636,2.886751346
26,2011/2012,Palmeira,PR,820,Southern,47.5,FLUZ-2,3,5,8.863636,2
26,2011/2012,Palmeira,PR,820,Southern,47.5,PROCY-2,3,6.25,8.863636,2.5
26,2011/2012,Palmeira,PR,820,Southern,47.5,TIOF-4,3,15,8.863636,1.5
27,2011/2012,São Desiderio,BA,844,Northern,100,AACHECK-0,3,100,121.948653,10
27,2011/2012,São Desiderio,BA,844,Northern,100,DIMO+BOSC-2,3,93.75,121.948653,7.978559231
27,2011/2012,São Desiderio,BA,844,Northern,100,FLUO-2,3,97.92,121.948653,4.166666667
27,2011/2012,São Desiderio,BA,844,Northern,100,FLUZ-2,3,85.42,121.948653,19.69089844
27,2011/2012,São Desiderio,BA,844,Northern,100,PROCY-2,3,89.58,121.948653,15.77474541
27,2011/2012,São Desiderio,BA,844,Northern,100,TIOF-4,3,89.58,121.948653,15.77474541
28,2011/2012,Montividiu,GO,921,Northern,24.38,AACHECK-0,3,24.38,30.486742,16.5044186
28,2011/2012,Montividiu,GO,921,Northern,24.38,DIMO+BOSC-2,3,1.88,30.486742,2.393567769
28,2011/2012,Montividiu,GO,921,Northern,24.38,FLUO-2,3,3.13,30.486742,3.75
28,2011/2012,Montividiu,GO,921,Northern,24.38,FLUZ-2,3,1.88,30.486742,2.393567769
28,2011/2012,Montividiu,GO,921,Northern,24.38,PROCY-2,3,4.75,30.486742,0.5
28,2011/2012,Montividiu,GO,921,Northern,24.38,TIOF-4,3,8.75,30.486742,3.227486122
29,2011/2012,Campo Verde,MT,736,Northern,3.65,AACHECK-0,3,3.65,6.573256,2.966667967
29,2011/2012,Campo Verde,MT,736,Northern,3.65,DIMO+BOSC-2,3,0.5,6.573256,0.5
29,2011/2012,Campo Verde,MT,736,Northern,3.65,FLUO-2,3,0.35,6.573256,0.4009376869
29,2011/2012,Campo Verde,MT,736,Northern,3.65,FLUZ-2,3,0.35,6.573256,0.4009376869
29,2011/2012,Campo Verde,MT,736,Northern,3.65,PROCY-2,3,0.35,6.573256,0.6944444444
29,2011/2012,Campo Verde,MT,736,Northern,3.65,TIOF-4,3,4.17,6.573256,7.877175707
30,2011/2012,Faxinal,PR,991,Southern,36.75,AACHECK-0,3,36.75,59.008523,6.28738817
30,2011/2012,Faxinal,PR,993,Southern,36.75,DIMO+BOSC-2,3,11.5,59.008523,1.629800601
30,2011/2012,Faxinal,PR,994,Southern,36.75,FLUO-2,3,10.25,59.008523,2.709935424
30,2011/2012,Faxinal,PR,995,Southern,36.75,FLUZ-2,3,17.75,59.008523,4.275657844
30,2011/2012,Faxinal,PR,997,Southern,36.75,PROCY-2,3,22.75,59.008523,10.43581573
30,2011/2012,Faxinal,PR,998,Southern,36.75,TIOF-4,3,34,59.008523,15.37042615
31,2011/2012,Capão Bonito,SP,730,Southern,5,AACHECK-0,3,5,2.249106,4.082482905
31,2011/2012,Capão Bonito,SP,730,Southern,5,DIMO+BOSC-2,3,1.5,2.249106,1.914854216
31,2011/2012,Capão Bonito,SP,730,Southern,5,FLUO-2,3,0.5,2.249106,0.5
31,2011/2012,Capão Bonito,SP,730,Southern,5,FLUZ-2,3,1,2.249106,1.154700538
31,2011/2012,Capão Bonito,SP,730,Southern,5,PROCY-2,3,0.5,2.249106,1
31,2011/2012,Capão Bonito,SP,730,Southern,5,TIOF-4,3,1.5,2.249106,1.290994449
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,AACHECK-0,3,7.5,6.9444444,8.660254038
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,DIMO+BOSC-2,3,0.5,6.9444444,0.5
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,FLUO-2,3,0.5,6.9444444,0.5
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,FLUZ-2,3,0.5,6.9444444,0.5
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,PROCY-2,3,1.25,6.9444444,2.5
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,TIOF-4,3,0.5,6.9444444,0.5
33,2012/2013,Rio Verde,GO,748,Northern,31.56,AACHECK-0,2,31.56,25.4631076,2.771694728
33,2012/2013,Rio Verde,GO,748,Northern,31.56,DIMO+BOSC-2,2,9.06,25.4631076,3.125
33,2012/2013,Rio Verde,GO,748,Northern,31.56,FLUO-2,2,13.75,25.4631076,3.952847075
33,2012/2013,Rio Verde,GO,748,Northern,31.56,FLUZ-2,2,11.25,25.4631076,3.679900361
33,2012/2013,Rio Verde,GO,748,Northern,31.56,PROCY-2,2,11.88,25.4631076,3.145764348
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,AACHECK-0,2,25.94,13.0129419,6.721777419
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,DIMO+BOSC-2,2,9.06,13.0129419,1.572882174
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,FLUO-2,2,11.25,13.0129419,2.886751346
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,FLUZ-2,2,11.25,13.0129419,3.227486122
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,PROCY-2,2,9.38,13.0129419,4.38985573
35,2012/2013,Jataí,GO,749,Northern,12.13,AACHECK-0,2,12.13,22.249053,1.108677891
35,2012/2013,Jataí,GO,749,Northern,12.13,DIMO+BOSC-2,2,0.5,22.249053,0.7071067812
35,2012/2013,Jataí,GO,749,Northern,12.13,FLUO-2,2,1.63,22.249053,2.25
35,2012/2013,Jataí,GO,749,Northern,12.13,FLUZ-2,2,0.75,22.249053,0.9574271078
35,2012/2013,Jataí,GO,749,Northern,12.13,PROCY-2,2,1.75,22.249053,1.443375673
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,AACHECK-0,2,7.23,0.9201578,1.192686044
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,DIMO+BOSC-2,2,0.33,0.9201578,0.65
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,FLUO-2,2,0.33,0.9201578,0.65
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,FLUZ-2,2,0.33,0.9201578,0.65
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,PROCY-2,2,0.65,0.9201578,0.7505553499
37,2012/2013,Faxinal,PR,820,Southern,58.25,AACHECK-0,2,58.25,74.4761865,4.558645632
37,2012/2013,Faxinal,PR,820,Southern,58.25,DIMO+BOSC-2,2,19,74.4761865,10.80364522
37,2012/2013,Faxinal,PR,820,Southern,58.25,FLUO-2,2,22,74.4761865,7.531185166
37,2012/2013,Faxinal,PR,820,Southern,58.25,FLUZ-2,2,40.75,74.4761865,9.826622004
37,2012/2013,Faxinal,PR,820,Southern,58.25,PROCY-2,2,42,74.4761865,6.34921255
38,2012/2013,Uberlândia,MG,947,Northern,21.68,AACHECK-0,2,21.68,5.4541477,2.778938646
38,2012/2013,Uberlândia,MG,947,Northern,21.68,DIMO+BOSC-2,2,8.8,5.4541477,5.372150407
38,2012/2013,Uberlândia,MG,947,Northern,21.68,FLUO-2,2,0.5,5.4541477,0.5
38,2012/2013,Uberlândia,MG,947,Northern,21.68,FLUZ-2,2,0.5,5.4541477,0.5
38,2012/2013,Uberlândia,MG,947,Northern,21.68,PROCY-2,2,1.25,5.4541477,1.040833
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,AACHECK-0,2,14.69,4.3096985,5.038911093
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,DIMO+BOSC-2,2,0.94,4.3096985,0.625
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,FLUO-2,2,4.69,4.3096985,2.771694728
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,FLUZ-2,2,3.13,4.3096985,2.165063509
