study,year,location,state,elevation,region,inc_check,inc,scl_check,scl,yld_check,design_yld,fungicide2,mean_yld,mean_yld_qmr,mean_yld_sd
38,2012/2013,Uberlândia,MG,947,Northern,21.68,0.5,7564.00,NA,2988.75,3,FLUZ-2,3287,13242.53,182.3439973
38,2012/2013,Uberlândia,MG,947,Northern,21.68,1.25,7564.00,165.00,2988.75,3,PROCY-2,3250,13242.53,127.2792206
38,2012/2013,Uberlândia,MG,947,Northern,21.68,8.8,7564.00,758.75,2988.75,3,DIMO+BOSC-2,3053.75,13242.53,61.09214352
38,2012/2013,Uberlândia,MG,947,Northern,21.68,21.68,7564.00,7564.00,2988.75,3,AACHECK-0,2988.75,13242.53,29.54516317
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,0.94,6729.63,457.87,4525.89,3,DIMO+BOSC-2,5133.31,63444.33,305.2877818
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,3.13,6729.63,4262.04,4525.89,3,FLUZ-2,5033.51,63444.33,404.0257316
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,3.75,6729.63,2593.06,4525.89,3,PROCY-2,4892.34,63444.33,115.9467325
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,4.69,6729.63,1542.59,4525.89,3,FLUO-2,4959.05,63444.33,483.9105071
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,14.69,6729.63,6729.63,4525.89,3,AACHECK-0,4525.89,63444.33,338.2177291
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,0.5,NA,NA,3279.33,1,CARB+PROCY-2,3678.5,61232.22,387.9099048
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,0.5,NA,NA,3279.33,1,DIMO+BOSC-2,3759.22,61232.22,292.5930435
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,3.75,NA,NA,3279.33,1,FLUO-2,3565.29,61232.22,215.5200482
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,3.75,NA,NA,3279.33,1,PROCY-2,3650.65,61232.22,179.7978885
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,6.25,NA,NA,3279.33,1,TIOF-4,3522.92,61232.22,291.6001656
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,7.5,NA,NA,3279.33,1,FLUZ-2,3613.89,61232.22,302.0163847
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,16.25,NA,NA,3279.33,1,AACHECK-0,3279.33,61232.22,201.7064967
41,2013/2014,Montividiu,GO,921,Northern,15,1,NA,NA,3236.64,1,FLUZ-2,3683.93,52647,199.058002
41,2013/2014,Montividiu,GO,921,Northern,15,1.5,NA,NA,3236.64,1,DIMO+BOSC-2,3622.1,52647,192.3171975
41,2013/2014,Montividiu,GO,921,Northern,15,2.25,NA,NA,3236.64,1,PROCY-2,3499.46,52647,341.7212013
41,2013/2014,Montividiu,GO,921,Northern,15,2.5,NA,NA,3236.64,1,CARB+PROCY-2,3627.04,52647,109.5399072
41,2013/2014,Montividiu,GO,921,Northern,15,3.5,NA,NA,3236.64,1,FLUO-2,3458.91,52647,213.5270841
41,2013/2014,Montividiu,GO,921,Northern,15,6.25,NA,NA,3236.64,1,TIOF-4,3391.87,52647,173.3746962
41,2013/2014,Montividiu,GO,921,Northern,15,15,NA,NA,3236.64,1,AACHECK-0,3236.64,52647,354.3128059
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,0.5,4340.00,512.00,3494.81,1,CARB+PROCY-2,4052.22,81886.32,403.2877347
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,0.75,4340.00,568.00,3494.81,1,FLUO-2,4145.06,81886.32,88.67040105
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,1,4340.00,252.00,3494.81,1,DIMO+BOSC-2,4228.5,81886.32,169.0442474
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,1.25,4340.00,512.00,3494.81,1,PROCY-2,3782.62,81886.32,265.3175534
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,2.5,4340.00,796.00,3494.81,1,FLUZ-2,3803.63,81886.32,389.0418168
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,6,4340.00,1332.00,3494.81,1,TIOF-4,3784.74,81886.32,266.2140617
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,33.25,4340.00,4340.00,3494.81,1,AACHECK-0,3494.81,81886.32,143.1347754
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,4.06,4935.71,1187.30,2602.4,1,CARB+PROCY-2,2864.76,53070.66,319.3954417
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,8.44,4935.71,2039.68,2602.4,1,PROCY-2,2939.68,53070.66,178.2430651
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,11.25,4935.71,2538.49,2602.4,1,FLUZ-2,2994.86,53070.66,216.7520163
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,11.88,4935.71,2172.62,2602.4,1,DIMO+BOSC-2,2633.48,53070.66,178.3329693
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,15.63,4935.71,2315.87,2602.4,1,FLUO-2,2964.61,53070.66,332.3629021
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,33.44,4935.71,5443.65,2602.4,1,TIOF-4,2605.85,53070.66,112.8818992
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,41.25,4935.71,4935.71,2602.4,1,AACHECK-0,2602.4,53070.66,390.6834629
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,0.5,NA,NA,2301.59,1,CARB+PROCY-2,3717.71,45439.64,209.9486008
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,1.5,NA,NA,2301.59,1,DIMO+BOSC-2,3526.73,45439.64,331.7825324
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,2.25,NA,NA,2301.59,1,FLUO-2,2840.67,45439.64,244.2340508
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,2.5,NA,NA,2301.59,1,TIOF-4,2763.24,45439.64,216.3445769
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,2.75,NA,NA,2301.59,1,PROCY-2,3185.27,45439.64,101.912187
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,3.5,NA,NA,2301.59,1,FLUZ-2,3284.37,45439.64,76.22566125
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,10.5,NA,NA,2301.59,1,AACHECK-0,2301.59,45439.64,243.0090142
45,2014/2015,Rio Verde,GO,921,Northern,27.25,3.63,354.17,34.73,3757.15,1,DIMO+BOSC-2,4261.61,33928.18,87.46996027
45,2014/2015,Rio Verde,GO,921,Northern,27.25,5.5,354.17,90.28,3757.15,1,FLUZ-2,4231.36,33928.18,68.70833297
45,2014/2015,Rio Verde,GO,921,Northern,27.25,5.88,354.17,104.17,3757.15,1,FLUO-2,4205.54,33928.18,176.6264788
45,2014/2015,Rio Verde,GO,921,Northern,27.25,6.25,354.17,97.23,3757.15,1,CARB+PROCY-2,4162.65,33928.18,255.7720968
45,2014/2015,Rio Verde,GO,921,Northern,27.25,13.38,354.17,229.17,3757.15,1,TIOF-4,3944.45,33928.18,154.4359802
45,2014/2015,Rio Verde,GO,921,Northern,27.25,13.88,354.17,211.81,3757.15,1,PROCY-2,4044.82,33928.18,279.2630085
45,2014/2015,Rio Verde,GO,921,Northern,27.25,27.25,354.17,354.17,3757.15,1,AACHECK-0,3757.15,33928.18,50.97076744
46,2014/2015,Ponta Grossa,PR,1021,Southern,26.88,4.06,2970.63,1165.08,4042.64,1,DIMO+BOSC-2,4583.63,100104.95,480.2161704
46,2014/2015,Ponta Grossa,PR,1021,Southern,26.88,4.38,2970.63,830.95,4042.64,1,CARB+PROCY-2,4353.12,100104.95,331.1726236
46,2014/2015,Ponta Grossa,PR,1021,Southern,26.88,5.94,2970.63,1713.49,4042.64,1,FLUO-2,4198.07,100104.95,350.3923246
46,2014/2015,Ponta Grossa,PR,1021,Southern,26.88,6.25,2970.63,1965.08,4042.64,1,FLUZ-2,4344.22,100104.95,738.1087533
46,2014/2015,Ponta Grossa,PR,1021,Southern,26.88,11.72,2970.63,2387.30,4042.64,1,PROCY-2,4154.03,100104.95,310.7601214
46,2014/2015,Ponta Grossa,PR,1021,Southern,26.88,19.38,2970.63,2845.63,4042.64,1,TIOF-4,4080.34,100104.95,390.9106539
46,2014/2015,Ponta Grossa,PR,1021,Southern,26.88,26.88,2970.63,2970.63,4042.64,1,AACHECK-0,4042.64,100104.95,575.7455965
47,2014/2015,Montividiu,GO,921,Northern,4.06,0.63,NA,NA,3468.1,1,FLUZ-2,4037.5,33928.18,181.5918572
47,2014/2015,Montividiu,GO,921,Northern,4.06,1.09,NA,NA,3468.1,1,PROCY-2,4029.32,33928.18,303.451123
47,2014/2015,Montividiu,GO,921,Northern,4.06,1.25,NA,NA,3468.1,1,CARB+PROCY-2,3980.31,33928.18,163.5630128
47,2014/2015,Montividiu,GO,921,Northern,4.06,1.56,NA,NA,3468.1,1,DIMO+BOSC-2,3881.22,33928.18,82.7947096
47,2014/2015,Montividiu,GO,921,Northern,4.06,1.56,NA,NA,3468.1,1,FLUO-2,3745.41,33928.18,98.17217271
47,2014/2015,Montividiu,GO,921,Northern,4.06,2.81,NA,NA,3468.1,1,TIOF-4,3779.59,33928.18,78.82388386
47,2014/2015,Montividiu,GO,921,Northern,4.06,4.06,NA,NA,3468.1,1,AACHECK-0,3468.1,33928.18,123.9678806
48,2014/2015,Mauá da Serra,PR,909,Southern,10.75,0.25,3312.00,60.00,3963.96,1,FLUO-2,5099.09,59776.59,301.7179158
48,2014/2015,Mauá da Serra,PR,909,Southern,10.75,0.75,3312.00,116.00,3963.96,1,CARB+PROCY-2,4701.63,59776.59,248.9551741
48,2014/2015,Mauá da Serra,PR,909,Southern,10.75,1.25,3312.00,212.00,3963.96,1,DIMO+BOSC-2,4796.58,59776.59,170.2287545
48,2014/2015,Mauá da Serra,PR,909,Southern,10.75,2.75,3312.00,182.00,3963.96,1,PROCY-2,4595.54,59776.59,322.5367572
48,2014/2015,Mauá da Serra,PR,909,Southern,10.75,2.75,3312.00,280.00,3963.96,1,FLUZ-2,4645.14,59776.59,191.6632729
48,2014/2015,Mauá da Serra,PR,909,Southern,10.75,5,3312.00,576.00,3963.96,1,TIOF-4,4421.43,59776.59,300.6482036
48,2014/2015,Mauá da Serra,PR,909,Southern,10.75,10.75,3312.00,3312.00,3963.96,1,AACHECK-0,3963.96,59776.59,119.334465
49,2015/2016,Montividiu,GO,921,Northern,36.25,1.75,273.52,49.11,3362.93,1,FLUO-2,3783.7,62701.1,667.625449
49,2015/2016,Montividiu,GO,921,Northern,36.25,2,273.52,46.84,3362.93,1,DIMO+BOSC-2,3894.54,62701.1,81.41537071
49,2015/2016,Montividiu,GO,921,Northern,36.25,2.75,273.52,66.86,3362.93,1,FLUZ-2,3884.94,62701.1,378.0068184
49,2015/2016,Montividiu,GO,921,Northern,36.25,4,273.52,124.11,3362.93,1,CARB+PROCY-2,3719.76,62701.1,123.2130706
49,2015/2016,Montividiu,GO,921,Northern,36.25,4.13,273.52,105.00,3362.93,1,PROCY-2,3806.55,62701.1,128.2578084
49,2015/2016,Montividiu,GO,921,Northern,36.25,15.5,273.52,140.25,3362.93,1,TIOF-4,3523.98,62701.1,244.33111830000001
49,2015/2016,Montividiu,GO,921,Northern,36.25,36.25,273.52,273.52,3362.93,1,AACHECK-0,3362.93,62701.1,156.4940977
50,2015/2016,Montividiu,GO,921,Northern,50.92,8.54,1031.88,227.00,2539.56,1,PROCY-2,3632.98,229754.7,829.9816824
50,2015/2016,Montividiu,GO,921,Northern,50.92,10.42,1031.88,186.88,2539.56,1,FLUZ-2,3759.36,229754.7,558.0090779
50,2015/2016,Montividiu,GO,921,Northern,50.92,10.5,1031.88,235.63,2539.56,1,FLUO-2,3615.51,229754.7,867.5699133
50,2015/2016,Montividiu,GO,921,Northern,50.92,12.83,1031.88,113.75,2539.56,1,CARB+PROCY-2,3742.08,229754.7,428.3063784
50,2015/2016,Montividiu,GO,921,Northern,50.92,16.41,1031.88,195.00,2539.56,1,DIMO+BOSC-2,3714.18,229754.7,367.1390987
50,2015/2016,Montividiu,GO,921,Northern,50.92,27.5,1031.88,560.63,2539.56,1,TIOF-4,3425.2,229754.7,553.1764194
50,2015/2016,Montividiu,GO,921,Northern,50.92,50.92,1031.88,1031.88,2539.56,1,AACHECK-0,2539.56,229754.7,87.49388973
51,2015/2016,Silvânia,GO,1050,Northern,30.98,12.53,2000.00,260.00,1667.3,1,FLUZ-2,2870.51,65005.33,362.5607881
51,2015/2016,Silvânia,GO,1050,Northern,30.98,13.75,2000.00,295.00,1667.3,1,FLUO-2,2486.77,65005.33,115.9583539
51,2015/2016,Silvânia,GO,1050,Northern,30.98,14.1,2000.00,490.00,1667.3,1,CARB+PROCY-2,2562.61,65005.33,234.1617593
51,2015/2016,Silvânia,GO,1050,Northern,30.98,14.4,2000.00,275.00,1667.3,1,DIMO+BOSC-2,2655.06,65005.33,168.908571
51,2015/2016,Silvânia,GO,1050,Northern,30.98,16.28,2000.00,797.50,1667.3,1,PROCY-2,2247.01,65005.33,209.9989193
51,2015/2016,Silvânia,GO,1050,Northern,30.98,16.58,2000.00,920.00,1667.3,1,TIOF-4,2017.71,65005.33,186.0673003
51,2015/2016,Silvânia,GO,1050,Northern,30.98,30.98,2000.00,2000.00,1667.3,1,AACHECK-0,1667.3,65005.33,459.7269261
52,2015/2016,Silvânia,GO,1050,Northern,27.23,10.95,2025.00,175.00,1720.44,1,FLUZ-2,2516.96,63203.05,124.4595123
52,2015/2016,Silvânia,GO,1050,Northern,27.23,11.88,2025.00,1000.00,1720.44,1,DIMO+BOSC-2,2457.52,63203.05,302.7155116
52,2015/2016,Silvânia,GO,1050,Northern,27.23,12.2,2025.00,200.00,1720.44,1,FLUO-2,2575.09,63203.05,255.4516678
52,2015/2016,Silvânia,GO,1050,Northern,27.23,12.5,2025.00,1260.00,1720.44,1,CARB+PROCY-2,2308.21,63203.05,345.1491869
52,2015/2016,Silvânia,GO,1050,Northern,27.23,14.55,2025.00,497.50,1720.44,1,PROCY-2,2319.77,63203.05,317.3275329
52,2015/2016,Silvânia,GO,1050,Northern,27.23,15.33,2025.00,910.00,1720.44,1,TIOF-4,2492.96,63203.05,45.88347201
52,2015/2016,Silvânia,GO,1050,Northern,27.23,27.23,2025.00,2025.00,1720.44,1,AACHECK-0,1720.44,63203.05,153.2521349
53,2015/2016,Uberlândia,MG,863,Northern,17.5,0.5,1992.50,10.00,2738.75,1,CARB+PROCY-2,2698.75,66956.28,172.9342361
53,2015/2016,Uberlândia,MG,863,Northern,17.5,0.5,1992.50,NA,2738.75,1,FLUZ-2,3045,66956.28,136.2595562
53,2015/2016,Uberlândia,MG,863,Northern,17.5,1.25,1992.50,114.00,2738.75,1,FLUO-2,2968.75,66956.28,295.6736658
53,2015/2016,Uberlândia,MG,863,Northern,17.5,2.5,1992.50,132.50,2738.75,1,PROCY-2,2928.75,66956.28,314.2309205
53,2015/2016,Uberlândia,MG,863,Northern,17.5,2.75,1992.50,297.50,2738.75,1,DIMO+BOSC-2,2776.25,66956.28,208.3416665
53,2015/2016,Uberlândia,MG,863,Northern,17.5,6.25,1992.50,577.50,2738.75,1,TIOF-4,2811.25,66956.28,417.1006074
53,2015/2016,Uberlândia,MG,863,Northern,17.5,17.5,1992.50,1992.50,2738.75,1,AACHECK-0,2738.75,66956.28,177.218086
54,2015/2016,Barreiras,BA,454,Northern,29.29,0.26,1261.90,45.05,2375.6,1,FLUO-2,2635.83,33058.13,141.9545845
54,2015/2016,Barreiras,BA,454,Northern,29.29,2.28,1261.90,410.55,2375.6,1,CARB+PROCY-2,2499.5,33058.13,46.01478844
54,2015/2016,Barreiras,BA,454,Northern,29.29,2.45,1261.90,172.65,2375.6,1,DIMO+BOSC-2,2559.34,33058.13,156.0923668
54,2015/2016,Barreiras,BA,454,Northern,29.29,7.01,1261.90,718.80,2375.6,1,FLUZ-2,2610.8,33058.13,116.5166187
54,2015/2016,Barreiras,BA,454,Northern,29.29,7.32,1261.90,341.24,2375.6,1,PROCY-2,2410.85,33058.13,283.4309183
54,2015/2016,Barreiras,BA,454,Northern,29.29,14.45,1261.90,825.03,2375.6,1,TIOF-4,2486.95,33058.13,128.9274172
54,2015/2016,Barreiras,BA,454,Northern,29.29,29.29,1261.90,1261.90,2375.6,1,AACHECK-0,2375.6,33058.13,83.12130577
55,2015/2016,Júlio de  Castilhos,RS,513,Southern,28.75,5.63,208.00,37.00,3255.14,1,FLUO-2,4026.28,157323.53,255.6894112
55,2015/2016,Júlio de  Castilhos,RS,513,Southern,28.75,11.25,208.00,95.50,3255.14,1,DIMO+BOSC-2,3754.89,157323.53,357.3756888
55,2015/2016,Júlio de  Castilhos,RS,513,Southern,28.75,15,208.00,97.50,3255.14,1,CARB+PROCY-2,3579.04,157323.53,743.27332
55,2015/2016,Júlio de  Castilhos,RS,513,Southern,28.75,15.63,208.00,139.50,3255.14,1,FLUZ-2,4014.07,157323.53,26.09218695
55,2015/2016,Júlio de  Castilhos,RS,513,Southern,28.75,16.25,208.00,97.00,3255.14,1,PROCY-2,3577.54,157323.53,253.5530323
55,2015/2016,Júlio de  Castilhos,RS,513,Southern,28.75,23.13,208.00,193.00,3255.14,1,TIOF-4,3011.99,157323.53,394.819117
55,2015/2016,Júlio de  Castilhos,RS,513,Southern,28.75,28.75,208.00,208.00,3255.14,1,AACHECK-0,3255.14,157323.53,186.5159857
56,2015/2016,Júlio de  Castilhos,RS,513,Southern,41.25,5.63,7091.75,485.00,3434.39,1,FLUO-2,3621.14,47108.99,218.9410818
56,2015/2016,Júlio de  Castilhos,RS,513,Southern,41.25,6.25,7091.75,602.50,3434.39,1,DIMO+BOSC-2,3702.35,47108.99,153.3543743
56,2015/2016,Júlio de  Castilhos,RS,513,Southern,41.25,6.88,7091.75,674.00,3434.39,1,CARB+PROCY-2,3645.76,47108.99,164.8375749
56,2015/2016,Júlio de  Castilhos,RS,513,Southern,41.25,7.5,7091.75,830.00,3434.39,1,FLUZ-2,3771.38,47108.99,240.80468
56,2015/2016,Júlio de  Castilhos,RS,513,Southern,41.25,10.31,7091.75,2587.50,3434.39,1,PROCY-2,3693.47,47108.99,210.9106734
56,2015/2016,Júlio de  Castilhos,RS,513,Southern,41.25,13.13,7091.75,4511.50,3434.39,1,TIOF-4,3586.31,47108.99,201.9472726
56,2015/2016,Júlio de  Castilhos,RS,513,Southern,41.25,41.25,7091.75,7091.75,3434.39,1,AACHECK-0,3434.39,47108.99,253.8205663
57,2015/2016,Mauá da Serra,PR,909,Southern,23.44,3.13,770.00,95.00,2868.09,1,DIMO+BOSC-2,3400.12,60708.08,440.0162414
57,2015/2016,Mauá da Serra,PR,909,Southern,23.44,3.44,770.00,95.00,2868.09,1,FLUO-2,3226.18,60708.08,258.4817286
57,2015/2016,Mauá da Serra,PR,909,Southern,23.44,8.75,770.00,335.00,2868.09,1,CARB+PROCY-2,3217.53,60708.08,313.4714413
57,2015/2016,Mauá da Serra,PR,909,Southern,23.44,9.69,770.00,280.00,2868.09,1,FLUZ-2,3350.2,60708.08,580.0778933
57,2015/2016,Mauá da Serra,PR,909,Southern,23.44,10.94,770.00,307.50,2868.09,1,PROCY-2,3265.72,60708.08,391.3588951
57,2015/2016,Mauá da Serra,PR,909,Southern,23.44,17.81,770.00,275.00,2868.09,1,TIOF-4,3238.85,60708.08,507.6538584
57,2015/2016,Mauá da Serra,PR,909,Southern,23.44,23.44,770.00,770.00,2868.09,1,AACHECK-0,2868.09,60708.08,248.6290109
58,2015/2016,Faxinal,PR,820,Southern,13.13,0.5,570.00,NA,4078.66,1,FLUO-2,4424.58,217894.5,452.8863103
58,2015/2016,Faxinal,PR,820,Southern,13.13,1.56,570.00,60.00,4078.66,1,CARB+PROCY-2,4453.91,217894.5,331.1065559
58,2015/2016,Faxinal,PR,820,Southern,13.13,1.56,570.00,NA,4078.66,1,DIMO+BOSC-2,4456.51,217894.5,804.0066027
58,2015/2016,Faxinal,PR,820,Southern,13.13,2.5,570.00,235.00,4078.66,1,FLUZ-2,4681.59,217894.5,310.3782707
58,2015/2016,Faxinal,PR,820,Southern,13.13,3.75,570.00,270.00,4078.66,1,PROCY-2,4626.2,217894.5,410.9096569
58,2015/2016,Faxinal,PR,820,Southern,13.13,4.38,570.00,320.00,4078.66,1,TIOF-4,4189.76,217894.5,140.643317
58,2015/2016,Faxinal,PR,820,Southern,13.13,13.13,570.00,570.00,4078.66,1,AACHECK-0,4078.66,217894.5,586.5698562
59,2016/2017,Ponta Grossa,PR,1021,Southern,3.75,0.25,77.18,27.14,4488.05,1,DIMO+BOSC-2,4797.13,142638.92,211.3556777
59,2016/2017,Ponta Grossa,PR,1021,Southern,3.75,0.25,77.18,38.06,4488.05,1,FLUO-2,4745.44,142638.92,195.2270331
59,2016/2017,Ponta Grossa,PR,1021,Southern,3.75,0.25,77.18,9.64,4488.05,1,CARB+PROCY-2,4454.17,142638.92,449.0674299
59,2016/2017,Ponta Grossa,PR,1021,Southern,3.75,1,77.18,26.05,4488.05,1,PROCY-2,4808.79,142638.92,623.5085292
59,2016/2017,Ponta Grossa,PR,1021,Southern,3.75,1.75,77.18,33.17,4488.05,1,FLUZ-2,4661.71,142638.92,267.2729127
59,2016/2017,Ponta Grossa,PR,1021,Southern,3.75,2.5,77.18,22.94,4488.05,1,TIOF-4,4898.56,142638.92,709.7998436
59,2016/2017,Ponta Grossa,PR,1021,Southern,3.75,3.75,77.18,77.18,4488.05,1,AACHECK-0,4488.05,142638.92,524.8750957
60,2016/2017,Pitanga,PR,952,Southern,46.5,3,8333.33,1180.55,3484.49,1,CARB+PROCY-2,4774.43,60015.54,205.8272485
60,2016/2017,Pitanga,PR,952,Southern,46.5,7.25,8333.33,1851.89,3484.49,1,FLUO-2,4550.06,60015.54,250.0672788
60,2016/2017,Pitanga,PR,952,Southern,46.5,11.75,8333.33,2638.89,3484.49,1,DIMO+BOSC-2,4384.74,60015.54,296.7215474
60,2016/2017,Pitanga,PR,952,Southern,46.5,14.13,8333.33,3946.76,3484.49,1,PROCY-2,4187.4,60015.54,249.3528359
60,2016/2017,Pitanga,PR,952,Southern,46.5,17.25,8333.33,8208.33,3484.49,1,FLUZ-2,3993.75,60015.54,257.6602223
60,2016/2017,Pitanga,PR,952,Southern,46.5,22.75,8333.33,4479.17,3484.49,1,TIOF-4,4175.87,60015.54,240.8618113
60,2016/2017,Pitanga,PR,952,Southern,46.5,46.5,8333.33,8333.33,3484.49,1,AACHECK-0,3484.49,60015.54,139.1139394
61,2016/2017,Silvânia,GO,1050,Northern,53.44,17.81,2900.00,500.00,2098.05,1,DIMO+BOSC-2,3693.35,24159.54,81.7430731
61,2016/2017,Silvânia,GO,1050,Northern,53.44,20.94,2900.00,350.00,2098.05,1,FLUZ-2,3621.3,24159.54,295.4110131
61,2016/2017,Silvânia,GO,1050,Northern,53.44,21.88,2900.00,400.00,2098.05,1,FLUO-2,3508.7,24159.54,107.6600204
61,2016/2017,Silvânia,GO,1050,Northern,53.44,22.5,2900.00,650.00,2098.05,1,CARB+PROCY-2,3322.75,24159.54,115.8533987
61,2016/2017,Silvânia,GO,1050,Northern,53.44,22.66,2900.00,1075.00,2098.05,1,PROCY-2,3363.93,24159.54,130.2272272
61,2016/2017,Silvânia,GO,1050,Northern,53.44,23.13,2900.00,1700.00,2098.05,1,TIOF-4,3477.95,24159.54,153.5964735
61,2016/2017,Silvânia,GO,1050,Northern,53.44,53.44,2900.00,2900.00,2098.05,1,AACHECK-0,2098.05,24159.54,259.2911041
62,2016/2017,Uberlândia,MG,863,Northern,23.75,1.5,902.50,100.00,3220,1,CARB+PROCY-2,3990,16247.86,151.8771433
62,2016/2017,Uberlândia,MG,863,Northern,23.75,2.25,902.50,109.75,3220,1,DIMO+BOSC-2,4070,16247.86,123.5583533
62,2016/2017,Uberlândia,MG,863,Northern,23.75,2.5,902.50,85.00,3220,1,FLUO-2,4095,16247.86,98.8264472
62,2016/2017,Uberlândia,MG,863,Northern,23.75,4.88,902.50,213.75,3220,1,PROCY-2,3950,16247.86,147.8416141
62,2016/2017,Uberlândia,MG,863,Northern,23.75,5.5,902.50,127.50,3220,1,FLUZ-2,4087.5,16247.86,131.497782
62,2016/2017,Uberlândia,MG,863,Northern,23.75,9,902.50,137.50,3220,1,TIOF-4,3685,16247.86,101.1599394
62,2016/2017,Uberlândia,MG,863,Northern,23.75,23.75,902.50,902.50,3220,1,AACHECK-0,3220,16247.86,56.56854249
63,2016/2017,Montividiu,GO,921,Northern,82,20,9051.25,2193.75,2855.72,1,DIMO+BOSC-2,4257.59,141349.33,527.8271066
63,2016/2017,Montividiu,GO,921,Northern,82,23.75,9051.25,1990.63,2855.72,1,FLUZ-2,4305.23,141349.33,338.2414626
63,2016/2017,Montividiu,GO,921,Northern,82,23.75,9051.25,2185.63,2855.72,1,FLUO-2,4033.94,141349.33,344.1058675
63,2016/2017,Montividiu,GO,921,Northern,82,23.88,9051.25,3315.00,2855.72,1,CARB+PROCY-2,4148.45,141349.33,407.5316538
63,2016/2017,Montividiu,GO,921,Northern,82,26.63,9051.25,2595.94,2855.72,1,PROCY-2,4075.86,141349.33,318.2367657
63,2016/2017,Montividiu,GO,921,Northern,82,49.39,9051.25,5143.13,2855.72,1,TIOF-4,3640.27,141349.33,446.5946456
63,2016/2017,Montividiu,GO,921,Northern,82,82,9051.25,9051.25,2855.72,1,AACHECK-0,2855.72,141349.33,381.0294754
64,2016/2017,Chapadão do Sul,MS,813,Northern,54.08,3.75,NA,NA,3893.44,2,DIMO+BOSC-2,4274.4,57527.34,125.3255905
64,2016/2017,Chapadão do Sul,MS,813,Northern,54.08,11.88,NA,NA,3893.44,2,CARB+PROCY-2,4413.25,57527.34,276.2229162
64,2016/2017,Chapadão do Sul,MS,813,Northern,54.08,16.25,NA,NA,3893.44,2,FLUO-2,4303.36,57527.34,224.7765208
64,2016/2017,Chapadão do Sul,MS,813,Northern,54.08,17.5,NA,NA,3893.44,2,FLUZ-2,3947.99,57527.34,180.6484106
64,2016/2017,Chapadão do Sul,MS,813,Northern,54.08,41.25,NA,NA,3893.44,2,TIOF-4,3931.42,57527.34,249.5365071
64,2016/2017,Chapadão do Sul,MS,813,Northern,54.08,54.08,NA,NA,3893.44,2,AACHECK-0,3893.44,57527.34,381.5320255
65,2016/2017,Palmeira,PR,865,Southern,14.69,2.81,40.12,19.75,3014.52,1,FLUO-2,3137.8,18324,94.83945506
65,2016/2017,Palmeira,PR,865,Southern,14.69,3.13,40.12,28.09,3014.52,1,DIMO+BOSC-2,3135.09,18324,176.9155135
65,2016/2017,Palmeira,PR,865,Southern,14.69,3.44,40.12,26.54,3014.52,1,FLUZ-2,3006.72,18324,184.9884482
65,2016/2017,Palmeira,PR,865,Southern,14.69,4.69,40.12,24.54,3014.52,1,PROCY-2,3069.78,18324,152.1678068
65,2016/2017,Palmeira,PR,865,Southern,14.69,4.69,40.12,28.40,3014.52,1,CARB+PROCY-2,3078.79,18324,76.78435261
65,2016/2017,Palmeira,PR,865,Southern,14.69,6.88,40.12,21.60,3014.52,1,TIOF-4,3016.17,18324,106.4863294
65,2016/2017,Palmeira,PR,865,Southern,14.69,14.69,40.12,40.12,3014.52,1,AACHECK-0,3014.52,18324,114.012866
66,2016/2017,Mauá da Serra,PR,909,Southern,11.88,0.63,1205.00,75.00,3555.59,1,DIMO+BOSC-2,4428.08,81653.48,268.1980771
66,2016/2017,Mauá da Serra,PR,909,Southern,11.88,1.88,1205.00,317.50,3555.59,1,PROCY-2,4146.24,81653.48,250.2926171
