study,year,location,state,elevation,region,inc_check,inc,scl_check,scl,yld_check,design_yld,fungicide2,mean_yld,mean_yld_qmr,mean_yld_sd
10,2009/2010,Nova Ponte,MG,1005,Northern,16.5,9.8,1804,2646,2940,4,TIOF-4,3008,80480.89,264.24
10,2009/2010,Nova Ponte,MG,1005,Northern,16.5,16.5,1804,1804,2940,4,AACHECK-0,2940,80480.89,295.75
10,2009/2010,Nova Ponte,MG,1005,Northern,16.5,NA,1804,261,2940,4,FLUO-2,3169,80480.89,114.22
10,2009/2010,Nova Ponte,MG,1005,Northern,16.5,NA,1804,301,2940,4,DIMO+BOSC-2,3058,80480.89,340.92
11,2009/2010,Uberlândia,MG,947,Northern,32,2.7,4370,2606,2163,4,DIMO+BOSC-2,2853,130887.781,258.24
11,2009/2010,Uberlândia,MG,947,Northern,32,3.4,4370,1163,2163,4,FLUO-2,2997,130887.781,209.5
11,2009/2010,Uberlândia,MG,947,Northern,32,4.5,4370,3247,2163,4,FLUZ-2,2993,130887.781,139.12
11,2009/2010,Uberlândia,MG,947,Northern,32,5.5,4370,5533,2163,4,PROCY-2,3110,130887.781,531.6
11,2009/2010,Uberlândia,MG,947,Northern,32,8.2,4370,1764,2163,4,TIOF-4,3227,130887.781,400.03
11,2009/2010,Uberlândia,MG,947,Northern,32,32,4370,4370,2163,4,AACHECK-0,2163,130887.781,418.84
12,2009/2010,Pilar do Sul,SP,800,Southern,55,3.25,NA,NA,3351,4,PROCY-2,4780,387631.18,1063.82
12,2009/2010,Pilar do Sul,SP,800,Southern,55,5.25,NA,NA,3351,4,FLUO-2,4669.5,387631.18,768.79
12,2009/2010,Pilar do Sul,SP,800,Southern,55,7,NA,NA,3351,4,FLUZ-2,4433.5,387631.18,762.45
12,2009/2010,Pilar do Sul,SP,800,Southern,55,8.75,NA,NA,3351,4,DIMO+BOSC-2,4865.5,387631.18,676.69
12,2009/2010,Pilar do Sul,SP,800,Southern,55,14.5,NA,NA,3351,4,TIOF-4,4668.5,387631.18,719.83
12,2009/2010,Pilar do Sul,SP,800,Southern,55,55,NA,NA,3351,4,AACHECK-0,3351,387631.18,327.62
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,9.4,2606,501,1941,4,FLUO-2,2324,127321.956,289.94
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,10,2606,241,1941,4,DIMO+BOSC-2,2899,127321.956,502.03
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,15.6,2606,702,1941,4,PROCY-2,2627,127321.956,631.27
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,17.5,2606,621,1941,4,FLUZ-2,2327,127321.956,337.38
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,24.3,2606,1503,1941,4,TIOF-4,2322,127321.956,362.72
13,2009/2010,Mauá da Serra,PR,909,Southern,40.6,40.6,2606,2606,1941,4,AACHECK-0,1941,127321.956,218.24
14,2010/2011,Montividiu,GO,921,Northern,43.1,3.1,2926,182,3013,4,FLUZ-2,3706,46277.776,215.3749449
14,2010/2011,Montividiu,GO,921,Northern,43.1,5.3,2926,188,3013,4,DIMO+BOSC-2,3622,46277.776,227.658619
14,2010/2011,Montividiu,GO,921,Northern,43.1,5.8,2926,254,3013,4,FLUO-2,3664,46277.776,323.9346552
14,2010/2011,Montividiu,GO,921,Northern,43.1,11.9,2926,430,3013,4,PROCY-2,3566,46277.776,267.9186318
14,2010/2011,Montividiu,GO,921,Northern,43.1,26.9,2926,812,3013,4,TIOF-4,3412,46277.776,106.6294251
14,2010/2011,Montividiu,GO,921,Northern,43.1,43.1,2926,2926,3013,4,AACHECK-0,3013,46277.776,213.5557689
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,8.8,1736,160,2464,4,FLUO-2,3237,42121.71,234.5668895
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,9.08,1736,56,2464,4,FLUZ-2,3221,42121.71,121.3696718
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,9.38,1736,156,2464,4,DIMO+BOSC-2,3203,42121.71,267.7465824
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,10.63,1736,10,2464,4,PROCY-2,3236,42121.71,265.0485077
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,20.03,1736,440,2464,4,TIOF-4,2860,42121.71,330.4969892
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,31.28,31.28,1736,1736,2464,4,AACHECK-0,2464,42121.71,116.3468667
16,2010/2011,Silvânia,GO,1050,Northern,36.8,5,4556,166,2935,4,FLUO-2,4244,117429.612,305.8171205
16,2010/2011,Silvânia,GO,1050,Northern,36.8,5.8,4556,260,2935,4,DIMO+BOSC-2,4275,117429.612,92.25534882
16,2010/2011,Silvânia,GO,1050,Northern,36.8,6,4556,226,2935,4,FLUZ-2,4379,117429.612,332.1027006
16,2010/2011,Silvânia,GO,1050,Northern,36.8,8.8,4556,680,2935,4,PROCY-2,4120,117429.612,458.5462146
16,2010/2011,Silvânia,GO,1050,Northern,36.8,12.3,4556,1030,2935,4,TIOF-4,4026,117429.612,353.4353698
16,2010/2011,Silvânia,GO,1050,Northern,36.8,36.8,4556,4556,2935,4,AACHECK-0,2935,117429.612,228.3605109
17,2010/2011,Água Fria,GO,891,Northern,36,2,9480,2820,2847,4,FLUO-2,3666,65985.822,258.427618
17,2010/2011,Água Fria,GO,891,Northern,36,4,9480,400,2847,4,PROCY-2,2996,65985.822,261.747409
17,2010/2011,Água Fria,GO,891,Northern,36,4,9480,760,2847,4,DIMO+BOSC-2,3898,65985.822,325.4873711
17,2010/2011,Água Fria,GO,891,Northern,36,6,9480,4480,2847,4,FLUZ-2,4095,65985.822,172.1885018
17,2010/2011,Água Fria,GO,891,Northern,36,12,9480,5200,2847,4,TIOF-4,3515,65985.822,209.1932431
17,2010/2011,Água Fria,GO,891,Northern,36,36,9480,9480,2847,4,AACHECK-0,2847,65985.822,254.4137304
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,9.3,9380,900,3652,4,PROCY-2,4403,151705.79,341.6366748
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,12.5,9380,2050,3652,4,FLUZ-2,4877,151705.79,283.3492973
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,25,9380,3270,3652,4,DIMO+BOSC-2,4711,151705.79,460.8109987
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,46.3,9380,5120,3652,4,TIOF-4,3727,151705.79,341.3851351
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,56.5,9380,5280,3652,4,FLUO-2,3793,151705.79,523.3827037
18,2010/2011,Ponta Grossa,PR,1021,Southern,64.5,64.5,9380,9380,3652,4,AACHECK-0,3652,151705.79,275.9971316
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,0.5,5700,660,2725,4,DIMO+BOSC-2,3392,65985.015,325.4873711
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,2.4,5700,800,2725,4,PROCY-2,2667,65985.015,261.747409
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,3.4,5700,1100,2725,4,FLUZ-2,2665,65985.015,172.1885018
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,6.1,5700,2360,2725,4,TIOF-4,2902,65985.015,209.1932431
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,11,5700,2800,2725,4,FLUO-2,2725,65985.015,258.427618
19,2010/2011,Marilândia do Sul,PR,868,Southern,15.4,15.4,5700,5700,2725,4,AACHECK-0,2725,65985.015,254.4137304
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,7.5,3277,1894,1986,4,FLUO-2,2343,89704.967,265.5897304
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,7.8,3277,2266,1986,4,FLUZ-2,2226,89704.967,310.5133843
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,7.8,3277,863,1986,4,DIMO+BOSC-2,2366,89704.967,165.5285865
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,12.8,3277,1606,1986,4,PROCY-2,2300,89704.967,180.4548634
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,27.2,3277,3062,1986,4,TIOF-4,2120,89704.967,306.5192596
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,42.1,42.1,3277,3277,1986,4,AACHECK-0,1986,89704.967,316.9947875
21,2011/2012,Goianira,GO,737,Northern,34.7,7.1,3618,278,2786,4,FLUO-2,3400,38646.924,98.6265498
21,2011/2012,Goianira,GO,737,Northern,34.7,10.8,3618,24,2786,4,DIMO+BOSC-2,3704,38646.924,191.9528426
21,2011/2012,Goianira,GO,737,Northern,34.7,15.9,3618,2308,2786,4,FLUZ-2,3445,38646.924,109.068243
21,2011/2012,Goianira,GO,737,Northern,34.7,16.4,3618,351,2786,4,PROCY-2,3128,38646.924,247.7751115
21,2011/2012,Goianira,GO,737,Northern,34.7,25,3618,2774,2786,4,TIOF-4,2770,38646.924,290.1578685
21,2011/2012,Goianira,GO,737,Northern,34.7,34.7,3618,3618,2786,4,AACHECK-0,2786,38646.924,70.38735919
22,2011/2012,Uberlândia,MG,947,Northern,46.3,16.5,4308,3290,2792,4,TIOF-4,3447,74708.673,139.3343551
22,2011/2012,Uberlândia,MG,947,Northern,46.3,16.8,4308,596,2792,4,FLUO-2,3492,74708.673,194.8112735
22,2011/2012,Uberlândia,MG,947,Northern,46.3,21,4308,1604,2792,4,PROCY-2,3350,74708.673,280.624304
22,2011/2012,Uberlândia,MG,947,Northern,46.3,21,4308,1771,2792,4,FLUZ-2,3767,74708.673,76.60323644
22,2011/2012,Uberlândia,MG,947,Northern,46.3,23.3,4308,1242,2792,4,DIMO+BOSC-2,3441,74708.673,375.7457862
22,2011/2012,Uberlândia,MG,947,Northern,46.3,46.3,4308,4308,2792,4,AACHECK-0,2792,74708.673,192.6604677
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,8.8,NA,NA,2646,4,DIMO+BOSC-2,3033,172027.208,305.1099181
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,11.3,NA,NA,2646,4,FLUO-2,3470,172027.208,358.9584201
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,13.8,NA,NA,2646,4,PROCY-2,3453,172027.208,516.7800074
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,15,NA,NA,2646,4,TIOF-4,2977,172027.208,379.4060836
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,23.8,NA,NA,2646,4,FLUZ-2,3622,172027.208,581.10701
23,2011/2012,Chapadão do Sul,MS,813,Northern,67.5,67.5,NA,NA,2646,4,AACHECK-0,2646,172027.208,563.7950923
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,5.2,NA,NA,2692,4,FLUO-2,2815,71177.845,91.38496434
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,5.5,NA,NA,2692,4,DIMO+BOSC-2,3318,71177.845,459.4025461
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,8.2,NA,NA,2692,4,FLUZ-2,2947,71177.845,42.35531894
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,9.25,NA,NA,2692,4,PROCY-2,2802,71177.845,401.3573489
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,11.2,NA,NA,2692,4,TIOF-4,2808,71177.845,244.4530004
24,2011/2012,Ponta Grossa,PR,1021,Southern,20.5,20.5,NA,NA,2692,4,AACHECK-0,2692,71177.845,170.6493948
25,2011/2012,Palmeira,PR,820,Southern,55,6.3,NA,NA,1451,4,DIMO+BOSC-2,1941,1720.738,57.61496563
25,2011/2012,Palmeira,PR,820,Southern,55,7.5,NA,NA,1451,4,FLUO-2,1729,1720.738,54.32839364
25,2011/2012,Palmeira,PR,820,Southern,55,11.3,NA,NA,1451,4,FLUZ-2,1659,1720.738,65.91742045
25,2011/2012,Palmeira,PR,820,Southern,55,15,NA,NA,1451,4,PROCY-2,1728,1720.738,50.70761144
25,2011/2012,Palmeira,PR,820,Southern,55,33.8,NA,NA,1451,4,TIOF-4,1485,1720.738,16.13395217
25,2011/2012,Palmeira,PR,820,Southern,55,55,NA,NA,1451,4,AACHECK-0,1451,1720.738,40.39317778
26,2011/2012,Palmeira,PR,820,Southern,47.5,2.5,NA,NA,1438,4,DIMO+BOSC-2,1791,6986.295,202.0818701
26,2011/2012,Palmeira,PR,820,Southern,47.5,2.5,NA,NA,1438,4,FLUO-2,1757,6986.295,23.70375788
26,2011/2012,Palmeira,PR,820,Southern,47.5,5,NA,NA,1438,4,FLUZ-2,1629,6986.295,75.1868235
26,2011/2012,Palmeira,PR,820,Southern,47.5,6.25,NA,NA,1438,4,PROCY-2,1733,6986.295,23.08358363
